Zeitstempel;B6 Delta SAK;Ozone concentration in product gas;SAK 254 inlet (scan);SAK 254 outlet (scan);UV intensity;Filter 1 - Turbidity;Filter 2 - Turbidity;Filter 1 - Pressure loss;Filter 2 - Pressure loss
02.11.2023 10:20;26,03;63,7;13,9;9,1;35,339;0,38;0;352;256
02.11.2023 10:25;45,6;100,3;23,6;12,8;52,657;0,59;1;435;411
02.11.2023 10:30;45,89;100,3;23,6;12,7;52,657;0,59;1;446;411
02.11.2023 10:35;45,4;100,3;23,6;12,7;52,657;0,59;1;450;412
02.11.2023 10:40;45,4;100,3;23,6;12,7;52,657;0,59;1;428;420
02.11.2023 10:45;46,56;100,3;23,6;12,7;52,657;0,59;1;443;421
02.11.2023 10:50;46,84;100,3;23,6;12,7;52,657;0,59;1;447;422
02.11.2023 10:55;43,69;100,3;23,6;12,7;52,657;0,59;1;449;418
02.11.2023 11:00;44,28;100,3;23,6;12,7;52,657;0,59;1;451;417
02.11.2023 11:05;47,07;100,3;23,6;12,7;52,657;0,59;1;452;419
02.11.2023 11:10;49,58;100,3;23,6;12,7;52,657;0,59;1;453;426
02.11.2023 11:15;48,2;100,3;23,6;12,3;52,657;0,59;1;457;426
02.11.2023 11:20;48,47;99,8;23,6;12,3;52,705;0,58;1;459;426
02.11.2023 11:25;50,93;98,5;23,7;12,3;53,235;0,57;1;462;422
02.11.2023 11:30;50,92;98,5;23,7;12,3;53,235;0,57;1;465;421
02.11.2023 11:35;50,92;98,5;23,7;12,3;53,235;0,57;1;468;425
02.11.2023 11:40;48,51;98,5;23,7;12,3;53,235;0,57;1;470;431
02.11.2023 11:45;42,96;98,5;23,7;12,3;53,235;0,57;1;473;432
02.11.2023 11:50;44,9;98,5;23,7;12,3;53,235;0,57;1;475;433
02.11.2023 11:55;47,96;98,5;23,7;12,3;53,235;0,57;1;477;433
02.11.2023 12:00;47,96;98,5;23,7;12,3;53,235;0,57;1;480;428
02.11.2023 12:05;46,66;98,5;23,7;12,3;53,235;0,57;1;482;428
02.11.2023 12:10;46,78;98,5;23,7;12,3;53,235;0,57;1;484;436
02.11.2023 12:15;47,55;98,5;23,7;12,4;53,235;0,57;1;500;437
